date,latency,jitter,packetloss
31/05/2021 16:41:56,53.87ms,0.0ms,0.0%
31/05/2021 16:41:58,62.51ms,4.32ms,0.0%
31/05/2021 16:42:00,59.43ms,3.58ms,0.0%
31/05/2021 16:42:02,83.63ms,11.27ms,0.0%
31/05/2021 16:42:04,98.11ms,16.69ms,0.0%
31/05/2021 16:42:06,62.81ms,15.11ms,0.0%
31/05/2021 16:42:37,184.67ms,0.0ms,0.0%
31/05/2021 16:42:39,73.56ms,55.55ms,0.0%
31/05/2021 16:42:41,82.23ms,50.46ms,0.0%
31/05/2021 16:42:43,249.93ms,73.49ms,0.0%
31/05/2021 16:42:45,79.44ms,71.16ms,0.0%
02/06/2021 17:21:08,57.6ms,0.0ms,0.0%
02/06/2021 17:21:09,59.44ms,0.92ms,0.0%
02/06/2021 17:21:11,65.64ms,3.44ms,0.0%
02/06/2021 17:21:13,64.73ms,3.41ms,0.0%
02/06/2021 17:21:15,83.97ms,9.36ms,0.0%
02/06/2021 17:21:17,95.39ms,13.6ms,0.0%
02/06/2021 17:21:19,114.17ms,18.68ms,0.0%
02/06/2021 17:21:21,237.65ms,61.37ms,0.0%
02/06/2021 17:21:24,280.02ms,80.58ms,0.0%
02/06/2021 17:21:25,56.74ms,86.39ms,0.0%
02/06/2021 17:21:27,59.54ms,92.47ms,0.0%
02/06/2021 17:21:30,485.94ms,159.35ms,0.0%
02/06/2021 17:21:32,616.93ms,224.68ms,0.0%
02/06/2021 17:21:34,665.91ms,266.93ms,0.0%
02/06/2021 17:21:36,786.9ms,251.02ms,0.0%
02/06/2021 17:21:38,599.39ms,97.74ms,0.0%
02/06/2021 17:21:41,412.01ms,121.31ms,0.0%
02/06/2021 17:21:42,577.09ms,122.31ms,0.0%
02/06/2021 17:21:44,439.04ms,134.03ms,0.0%
02/06/2021 17:21:46,663.55ms,96.67ms,0.0%
02/06/2021 17:21:49,113.98ms,187.53ms,0.0%
02/06/2021 17:21:51,62.65ms,242.42ms,0.0%
02/06/2021 17:21:53,59.47ms,242.94ms,0.0%
02/06/2021 17:21:55,54.82ms,237.3ms,0.0%
02/06/2021 17:21:57,57.04ms,22.35ms,0.0%
02/06/2021 17:21:59,60.21ms,2.69ms,0.0%
02/06/2021 17:22:01,68.36ms,4.6ms,0.0%
02/06/2021 17:22:03,84.19ms,10.67ms,0.0%
02/06/2021 17:22:05,79.44ms,10.55ms,0.0%
02/06/2021 17:22:07,69.13ms,8.53ms,0.0%
02/06/2021 17:22:09,62.47ms,7.92ms,0.0%
02/06/2021 17:22:11,65.88ms,8.25ms,0.0%
02/06/2021 17:22:13,57.14ms,7.46ms,0.0%
02/06/2021 17:22:15,62.53ms,3.99ms,0.0%
02/06/2021 17:22:17,70.45ms,4.39ms,0.0%
02/06/2021 17:22:19,59.6ms,4.69ms,0.0%
02/06/2021 17:22:21,102.61ms,16.68ms,0.0%
02/06/2021 17:22:23,78.5ms,15.41ms,0.0%
02/06/2021 17:22:25,57.81ms,16.25ms,0.0%
02/06/2021 17:25:55,146.49ms,0.0ms,0.0%
02/06/2021 17:25:57,97.1ms,24.7ms,0.0%
02/06/2021 17:25:59,84.47ms,26.76ms,0.0%
02/06/2021 17:26:01,76.52ms,27.19ms,0.0%
02/06/2021 17:26:03,55.56ms,30.4ms,0.0%
02/06/2021 17:26:05,297.76ms,88.77ms,0.0%
02/06/2021 17:26:07,60.03ms,92.05ms,0.0%
02/06/2021 17:26:09,502.63ms,177.11ms,0.0%
02/06/2021 17:26:11,112.48ms,172.68ms,0.0%
02/06/2021 17:26:13,120.96ms,163.02ms,0.0%
02/06/2021 17:26:15,130.89ms,160.5ms,0.0%
02/06/2021 17:26:17,139.03ms,150.98ms,0.0%
02/06/2021 17:26:19,94.46ms,15.42ms,0.0%
02/06/2021 17:26:21,89.36ms,19.72ms,0.0%
02/06/2021 17:26:23,88.18ms,21.95ms,0.0%
02/06/2021 17:26:25,73.64ms,22.16ms,0.0%
02/06/2021 17:26:27,74.88ms,8.32ms,0.0%
02/06/2021 17:26:29,108.86ms,12.73ms,0.0%
02/06/2021 17:26:31,118.43ms,18.02ms,0.0%
02/06/2021 17:26:33,139.79ms,25.61ms,0.0%
02/06/2021 17:26:35,82.22ms,23.8ms,0.0%
02/06/2021 17:26:37,186.65ms,35.01ms,0.0%
02/06/2021 17:26:39,219.71ms,48.78ms,0.0%
02/06/2021 17:26:41,205.64ms,50.17ms,0.0%
02/06/2021 17:26:43,65.61ms,64.8ms,0.0%
02/06/2021 17:26:45,99.59ms,61.34ms,0.0%
02/06/2021 17:36:53,154.24ms,0.0ms,0.0%
02/06/2021 17:36:54,65.15ms,44.55ms,0.0%
02/06/2021 17:42:41,361.03ms,0.0ms,0.0%
02/06/2021 17:42:42,109.27ms,125.88ms,0.0%
02/06/2021 17:42:44,110.07ms,118.49ms,0.0%
02/06/2021 17:42:47,462.73ms,155.32ms,0.0%
02/06/2021 17:42:49,268.14ms,138.96ms,0.0%
02/06/2021 17:42:51,346.18ms,136.96ms,0.0%
02/06/2021 17:42:52,126.17ms,133.38ms,0.0%
02/06/2021 17:47:17,86.76ms,0.0ms,0.0%
02/06/2021 17:47:18,102.56ms,7.9ms,0.0%
02/06/2021 17:47:20,103.33ms,7.64ms,0.0%
02/06/2021 17:47:23,186.83ms,39.22ms,0.0%
02/06/2021 17:47:25,369.41ms,105.8ms,0.0%
02/06/2021 17:47:27,326.96ms,111.57ms,0.0%
02/06/2021 17:47:29,276.6ms,96.29ms,0.0%
02/06/2021 19:11:36,60.76ms,0.0ms,0.0%
02/06/2021 19:11:38,64.59ms,1.92ms,0.0%
02/06/2021 19:11:40,78.39ms,7.57ms,0.0%
02/06/2021 19:11:42,62.02ms,7.04ms,0.0%
02/06/2021 19:11:45,613.41ms,218.88ms,0.0%
02/06/2021 19:11:47,309.04ms,215.27ms,0.0%
02/06/2021 19:11:50,62.8ms,215.54ms,0.0%
02/06/2021 19:11:52,58.42ms,218.39ms,0.0%
02/06/2021 19:11:54,59.58ms,218.75ms,0.0%
02/06/2021 19:11:56,85.18ms,97.51ms,0.0%
02/06/2021 19:15:53,67.74ms,0.0ms,0.0%
02/06/2021 19:15:54,56.71ms,5.51ms,0.0%
02/06/2021 19:15:56,55.13ms,5.61ms,0.0%
02/06/2021 19:15:58,58.13ms,4.92ms,0.0%
02/06/2021 19:16:00,77.03ms,8.3ms,0.0%
02/06/2021 19:31:46,59.72ms,0.0ms,0.0%
02/06/2021 19:31:47,85.04ms,12.66ms,0.0%
02/06/2021 19:31:49,66.98ms,10.65ms,0.0%
02/06/2021 19:31:51,81.16ms,10.29ms,0.0%
02/06/2021 19:31:53,99.47ms,13.96ms,0.0%
02/06/2021 19:31:55,62.23ms,13.31ms,0.0%
02/06/2021 19:31:57,62.92ms,14.21ms,0.0%
02/06/2021 19:33:37,98.11ms,0.0ms,0.0%
02/06/2021 19:33:38,60.19ms,18.96ms,0.0%
02/06/2021 19:33:40,58.57ms,18.27ms,0.0%
02/06/2021 19:36:29,80.67ms,0.0ms,0.0%
02/06/2021 19:36:30,77.96ms,1.36ms,0.0%
02/06/2021 19:36:32,82.11ms,1.72ms,0.0%
02/06/2021 19:36:34,65.89ms,6.39ms,0.0%
02/06/2021 19:39:58,89.56ms,0.0ms,0.0%
02/06/2021 19:39:59,67.38ms,11.09ms,0.0%
02/06/2021 19:40:01,86.33ms,9.78ms,0.0%
02/06/2021 19:40:03,167.97ms,38.56ms,0.0%
02/06/2021 19:46:01,64.15ms,0.0ms,0.0%
02/06/2021 19:46:02,64.7ms,0.27ms,0.0%
02/06/2021 19:46:04,114.42ms,23.57ms,0.0%
02/06/2021 19:55:44,336.87ms,0.0ms,0.0%
02/06/2021 19:55:45,89.64ms,123.62ms,0.0%
02/06/2021 19:55:48,194.21ms,101.33ms,0.0%
02/06/2021 19:55:50,225.0ms,88.1ms,0.0%
02/06/2021 19:55:51,90.33ms,92.5ms,0.0%
02/06/2021 19:56:48,113.38ms,0.0ms,0.0%
02/06/2021 19:56:50,185.5ms,36.06ms,0.0%
02/06/2021 19:56:52,811.93ms,313.69ms,0.0%
02/06/2021 19:56:54,371.46ms,271.66ms,0.0%
02/06/2021 19:56:55,101.26ms,265.79ms,0.0%
02/06/2021 19:56:57,103.51ms,267.32ms,0.0%
03/06/2021 10:34:34,834.64ms,0.0ms,0.0%
03/06/2021 10:34:36,129.12ms,352.76ms,0.0%
03/06/2021 10:34:37,79.32ms,344.92ms,0.0%
03/06/2021 10:34:39,64.47ms,322.91ms,0.0%
03/06/2021 10:34:41,66.1ms,300.87ms,0.0%
03/06/2021 10:34:43,88.46ms,23.53ms,0.0%
03/06/2021 10:34:45,58.88ms,10.83ms,0.0%
03/06/2021 10:34:47,63.78ms,10.34ms,0.0%
03/06/2021 10:46:25,56.17ms,0.0ms,0.0%
03/06/2021 10:47:59,75.04ms,0.0ms,0.0%
